,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anisotropy Calculations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Mineralogist: June 2018 Deposit AM-18-66285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUFFY: SINGLE-CRYSTAL ELASTIC PROPERTIES OF CUBIC MINERALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Composition,Group,Structure/SG,C1,NS,r,11,44,12,K,GR,GV,G,GHS1,GHS2,GHSA,K/G,nVRH,EVRH,VP,VB,VS,VP/VS,C12/C11,C44/C11,AZ,AU,AL,AG,,n_110,n_001,,S11,S12,S44
Silicates,,,,,,g/cm3,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,-,-,GPa,km/s,km/s,km/s,-,-,-,-,-,-,%,,-,-,,GPa-1,GPa-1,GPa-1
Ringwoodite,g-Mg1.89Si0.97H0.33O4,Silicate,"Spinel, Fd-3m",7,9.AC,3.469,281,117,92,155.000,106.826,108.000,107.413,107.398,107.449,107.424,1.443,0.219,261.771,9.272,6.684,5.565,1.666,0.327,0.416,1.2381,0.0549,0.0244,0.546,,0.144,0.280,,0.0042,-0.0010,0.0085
Ringwoodite,g-Mg1.7Fe0.22H0.16SiO4,Silicate,"Spinel, Fd-3m",7,9.AC,3.651,298,112,115,176.000,102.788,103.800,103.294,103.291,103.332,103.311,1.704,0.255,259.179,9.270,6.943,5.319,1.743,0.386,0.376,1.2240,0.0492,0.0219,0.490,,0.183,0.315,,0.0043,-0.0012,0.0089
Ringwoodite,g-Mg1.633Fe2+0.231Fe3+0.026H0.170SiO4,Silicate,"Spinel, Fd-3m",7,9.AC,3.649,299.7,115.3,112.7,175.033,105.464,106.580,106.022,106.016,106.063,106.039,1.651,0.248,264.634,9.312,6.926,5.390,1.727,0.376,0.385,1.2332,0.0529,0.0235,0.526,,0.174,0.311,,0.0042,-0.0011,0.0087
Ni2SiO4,Ni2SiO4,Silicate,"Spinel, Fd-3m",7,9,5.351,366,106,155,225.333,105.799,105.800,105.800,105.800,105.800,105.800,2.130,0.297,274.446,8.275,6.489,4.447,1.861,0.423,0.290,1.0047,0.0000,0.0000,0.000,,0.295,0.298,,0.0037,-0.0011,0.0094
Mg2GeO4,Mg2GeO4,Silicate,"Spinel, Fd-3m",7,9,4.389,300,126,118,178.667,109.200,112.000,110.600,110.553,110.736,110.645,1.615,0.243,275.046,8.620,6.380,5.020,1.717,0.393,0.420,1.3846,0.1282,0.0566,1.266,,0.127,0.343,,0.0043,-0.0012,0.0079
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollucite,"(Cs,Na)AlSi2O6.H2O",Silicate,"Zeolite, Ia-3d",7,9.GB,2.930,105.0,27.0,25.7,52.133,30.950,32.060,31.505,31.542,31.457,31.499,1.655,0.249,78.668,5.668,4.218,3.279,1.729,0.245,0.257,0.6810,0.1794,0.0788,1.762,,0.373,0.154,,0.0105,-0.0021,0.0370
Analcime,Na1.05(Al0.95)Si2.0O6).H2O,Silicate,"Zeolite, Fdd2",7,9.GB,2.239,112.5,27.9,33.4,59.767,31.626,32.560,32.093,32.128,32.063,32.096,1.862,0.272,81.663,6.768,5.167,3.786,1.788,0.297,0.248,0.7054,0.1476,0.0651,1.455,,0.386,0.182,,0.0103,-0.0024,0.0358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eulytine,Bi4Si3O12,Silicate,"Eulytine, I-43d",7,9.AD,6.80,136,51.8,23,60.667,53.583,53.680,53.631,53.631,53.630,53.630,1.131,0.159,124.274,4.409,2.987,2.808,1.570,0.169,0.381,0.9168,0.0091,0.0040,0.090,,0.187,0.138,,0.0077,-0.0011,0.0193
Bismuth germanate,Bi4Ge3O12,Silicate,"Eulytine, I-43d",7,9,7.10,116,43.6,27,56.667,43.956,43.960,43.958,43.958,43.958,43.958,1.289,0.192,104.780,4.031,2.826,2.489,1.619,0.233,0.376,0.9798,0.0005,0.0002,0.005,,0.199,0.187,,0.0095,-0.0018,0.0229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAG,Y3Al5O12,Multiple Oxide,"Garnet, Ia-3d",7,4,4.55,330.6,114.1,111.2,184.333,112.298,112.340,112.319,112.319,112.320,112.320,1.641,0.247,280.072,8.569,6.365,4.968,1.725,0.336,0.345,1.0401,0.0019,0.0008,0.019,,0.233,0.258,,0.0036,-0.0009,0.0088
YEAG,(Y0.74Er0.26)3Al5O12,Multiple Oxide,"Garnet, Ia-3d",7,4,4.96,332,113,114,186.667,111.365,111.400,111.383,111.383,111.383,111.383,1.676,0.251,278.713,8.220,6.135,4.739,1.735,0.343,0.340,1.0367,0.0016,0.0007,0.016,,0.239,0.261,,0.0037,-0.0009,0.0088
YAGG,Y3(Al0.9Ga0.1)5O12 ,Multiple Oxide,"Garnet, Ia-3d",7,4,-,331,114,115,187.000,111.522,111.600,111.561,111.561,111.562,111.562,1.676,0.251,279.167,-,-,-,1.735,0.347,0.344,1.0556,0.0035,0.0016,0.035,,0.232,0.267,,0.0037,-0.0009,0.0088
